2018,10,04,07,00,28.66,0.40,12.85,78.69
2018,10,04,08,00,29.09,0.30,14.15,75.26
2018,10,04,09,00,29.41,0.20,15.28,74.98
2018,10,04,10,00,29.69,0.20,16.17,73.18
2018,10,04,11,00,29.77,0.10,16.52,73.54
2018,10,04,12,00,30.24,0.00,16.33,75.96
2018,10,04,13,00,29.82,0.40,16.24,77.20
2018,10,04,14,00,29.49,0.80,15.54,76.61
2018,10,04,15,00,29.24,1.10,15.11,77.62
2018,10,04,16,00,29.01,1.40,14.92,81.67
2018,10,04,17,00,26.76,0.00,23.60,111.48
2018,10,04,18,00,25.41,0.00,21.57,123.42
2018,10,04,19,00,24.24,0.30,13.53,154.80
2018,10,04,20,00,24.12,0.00,8.28,180.00
2018,10,04,21,00,24.05,0.00,4.61,231.34
2018,10,04,22,00,24.04,0.00,4.10,285.26
2018,10,04,23,00,24.07,0.00,3.22,296.57
2018,10,05,00,00,24.09,0.00,3.32,257.47
2018,10,05,01,00,23.96,0.00,6.92,261.03
2018,10,05,02,00,23.64,0.10,9.72,270.00
2018,10,05,03,00,23.51,3.30,10.08,270.00
2018,10,05,04,00,23.40,2.60,9.75,274.24
2018,10,05,05,00,23.26,1.20,7.63,289.29
2018,10,05,06,00,23.43,0.40,8.15,315.00
2018,10,05,07,00,23.93,0.00,9.98,334.36
2018,10,05,08,00,24.83,0.00,10.24,349.88
2018,10,05,09,00,26.01,0.00,8.71,7.13
2018,10,05,10,00,27.07,0.00,7.93,39.47
2018,10,05,11,00,27.74,0.00,10.09,55.18
2018,10,05,12,00,28.22,0.00,11.68,56.31
2018,10,05,13,00,28.58,0.20,12.77,49.57
2018,10,05,14,00,27.69,0.70,13.28,49.40
2018,10,05,15,00,27.60,0.90,14.11,52.25
2018,10,05,16,00,27.65,1.00,13.98,55.49
2018,10,05,17,00,25.20,1.20,7.42,247.17
2018,10,05,18,00,24.96,0.00,7.28,278.53
2018,10,05,19,00,24.75,0.00,7.20,306.87
2018,10,05,20,00,24.54,0.00,6.64,319.40
2018,10,05,21,00,24.21,0.00,7.64,315.00
2018,10,05,22,00,23.73,0.00,8.71,308.29
2018,10,05,23,00,23.33,0.00,8.71,308.29
2018,10,06,00,00,23.12,0.00,8.21,307.87
2018,10,06,01,00,22.91,0.00,7.90,313.15
2018,10,06,02,00,22.80,0.00,7.70,322.59
2018,10,06,03,00,22.80,0.00,7.24,333.43
2018,10,06,04,00,22.99,0.00,7.34,348.69
2018,10,06,05,00,23.05,0.00,8.05,349.70
2018,10,06,06,00,23.32,0.00,9.11,350.91
2018,10,06,07,00,25.57,0.00,9.01,2.29
2018,10,06,08,00,28.17,0.00,12.41,29.54
2018,10,06,09,00,28.60,0.20,14.00,46.04
2018,10,06,10,00,29.48,0.10,14.76,45.00
2018,10,06,11,00,29.05,0.30,15.27,45.00
2018,10,06,12,00,29.19,0.10,15.78,45.00
2018,10,06,13,00,29.61,0.00,16.55,44.12
2018,10,06,14,00,28.69,0.00,16.56,42.36
2018,10,06,15,00,28.31,0.00,16.09,40.46
2018,10,06,16,00,28.25,0.00,15.55,42.18
2018,10,06,17,00,28.79,0.00,13.66,71.57
2018,10,06,18,00,28.36,0.00,12.07,72.65
2018,10,06,19,00,28.27,0.00,11.28,73.30
2018,10,06,20,00,28.08,0.00,10.14,73.50
2018,10,06,21,00,27.86,0.00,8.65,73.07
2018,10,06,22,00,27.66,0.00,7.29,69.78
2018,10,06,23,00,27.50,0.00,5.96,64.98
2018,10,07,00,00,27.40,0.00,5.40,53.13
2018,10,07,01,00,27.21,0.00,5.12,39.29
2018,10,07,02,00,26.97,0.00,5.32,28.30
2018,10,07,03,00,26.65,0.00,6.03,17.35
2018,10,07,04,00,26.35,0.00,6.57,9.46
2018,10,07,05,00,26.01,0.00,7.92,360.00
2018,10,07,06,00,27.41,0.00,10.11,355.91
2018,10,07,07,00,28.52,0.00,10.45,358.03
2018,10,07,08,00,29.16,0.00,11.25,7.35
2018,10,07,09,00,30.41,0.00,12.52,18.43
2018,10,07,10,00,31.25,0.00,13.85,27.90
2018,10,07,11,00,31.73,0.00,15.58,33.69
2018,10,07,12,00,31.90,0.00,17.58,42.51
2018,10,07,13,00,31.76,0.00,18.86,48.09
2018,10,07,14,00,31.51,0.00,19.64,48.72
2018,10,07,15,00,31.13,0.00,20.15,48.62
2018,10,07,16,00,30.60,0.00,19.64,48.72
2018,10,07,17,00,29.88,0.00,18.60,47.35
2018,10,07,18,00,29.36,0.00,16.55,44.12
2018,10,07,19,00,29.17,0.00,15.53,44.06
2018,10,07,20,00,28.94,0.00,15.28,46.91
2018,10,07,21,00,28.69,0.00,15.31,48.81
2018,10,07,22,00,28.46,0.00,14.26,47.05
2018,10,07,23,00,28.23,0.00,13.24,45.00
